,Security,SEC Filings,GICS Sector,GICS Sub Industry,Location,Date Added,CIK,Founded,const,Index,Oil,Gold,NaturalGas,Group
AKAM,Akamai,reports,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",2007-07-12,1086222,1998,-0.2729314634933363,1.0187651074412518,0.007756672699786574,0.009106093231682539,0.03125780835837168,3
ALK,Alaska Air Group,reports,Industrials,Airlines,"SeaTac, Washington",2016-05-13,766421,1985,3.5577801894977434,1.1469817626611416,-2.444065800705867,0.009106093231682539,0.03125780835837168,2
ALB,Albemarle Corporation,reports,Materials,Specialty Chemicals,"Charlotte, North Carolina",2016-07-01,915913,1994,-0.2729314634933363,0.881661381161301,1.2844939514795566,1.8353093277505115,0.03125780835837168,0
ARE,Alexandria Real Estate Equities,reports,Real Estate,Office REITs,"Pasadena, California",2017-03-20,1035443,1994,-0.2729314634933363,-0.17962679738847132,0.007756672699786574,0.009106093231682539,2.2973626325686873,5
ALGN,Align Technology,reports,Health Care,Health Care Supplies,"Tempe, Arizona",2017-06-19,1097149,1997,-0.2729314634933363,1.0555061332733076,-0.6471006226310801,0.009106093231682539,0.03125780835837168,3
LNT,Alliant Energy,reports,Utilities,Electric Utilities,"Madison, Wisconsin",2016-07-01,352541,1917,-0.2729314634933363,-1.2646083005035518,-0.35546983947895616,0.009106093231682539,0.03125780835837168,1
ALL,Allstate,reports,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",1995-07-13,899051,1931,-0.2729314634933363,-0.2507869101570257,-0.3332595817376603,0.009106093231682539,0.03125780835837168,1
GOOGL,Alphabet Inc. (Class A),reports,Communication Services,Interactive Media & Services,"Mountain View, California",2014-04-03,1652044,1998,-0.2729314634933363,-0.17166061740857236,-0.4807616956907499,0.009106093231682539,0.03125780835837168,1
MO,Altria,reports,Consumer Staples,Tobacco,"Richmond, Virginia",1957-03-04,764180,1985,2.7550053978243683,-1.6057369553465997,-0.5530053570689345,1.2493795776344185,0.03125780835837168,2
AMZN,Amazon,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",2005-11-18,1018724,1994,-0.2729314634933363,0.2807961027117864,0.007756672699786574,0.009106093231682539,0.03125780835837168,3
AMD,AMD,reports,Information Technology,Semiconductors,"Santa Clara, California",,2488,1969,-0.2729314634933363,1.8043855016796424,0.9853761848534142,0.009106093231682539,0.03125780835837168,3
AEE,Ameren,reports,Utilities,Multi-Utilities,"St. Louis, Missouri",1991-09-19,1002910,1902,-0.2729314634933363,-1.3205366046105387,-0.5132229056879328,0.009106093231682539,0.03125780835837168,1
AAL,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",2015-03-23,6201,1934,-0.2729314634933363,2.2307437093934093,-3.787283350701621,0.009106093231682539,0.03125780835837168,3
AEP,American Electric Power,reports,Utilities,Electric Utilities,"Columbus, Ohio",1957-03-04,4904,1906,-0.2729314634933363,-1.5921184768987333,-0.4033229953183521,0.009106093231682539,0.03125780835837168,1
AXP,American Express,reports,Financials,Consumer Finance,"New York City, New York",1976-06-30,4962,1850,-0.2729314634933363,0.3741489766214319,-0.5489074268096878,0.009106093231682539,0.03125780835837168,3
AIG,American International Group,reports,Financials,Property & Casualty Insurance,"New York City, New York",1980-03-31,5272,1919,-0.2729314634933363,1.328073944028582,0.007756672699786574,0.009106093231682539,0.03125780835837168,3
AMT,American Tower,reports,Real Estate,Specialized REITs,"Boston, Massachusetts",2007-11-19,1053507,1995,-0.2729314634933363,-0.8064176996571228,0.007756672699786574,1.8692700604455508,0.03125780835837168,0
AWK,American Water Works,reports,Utilities,Water Utilities,"Camden, New Jersey",2016-03-04,1410636,1886,2.0702430324488685,-1.5934806946043467,-0.3605537925825311,1.194808706886268,0.03125780835837168,2
AMP,Ameriprise Financial,reports,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",2005-10-03,820027,1894,-0.2729314634933363,1.8054628402173893,0.33406643348306125,0.009106093231682539,0.03125780835837168,3
ABC,AmerisourceBergen,reports,Health Care,Health Care Distributors,"Conshohocken, Pennsylvania",2001-08-30,1140859,1985,-0.2729314634933363,-1.051103238200213,-0.6399147308823685,0.009106093231682539,0.03125780835837168,1
